isbn13,bk_title,bk_authors,categories,thumbnail,description,published_year
9780449910832,The All-true Travels and Adventures of Lidie Newton,Jane Smiley,Fiction,http://books.google.com/books/content?id=In6LDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Offers the pre-Civil War memoirs of an abolitionist who in 1855 enters the fray between Kansas free-staters and slave-holding Missourians,1998
9780449911419,And I Don't Want to Live this Life,Deborah Spungen,Biography & Autobiography,http://books.google.com/books/content?id=4OkkAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For most of us, it was just another horrible headline. But for Deborah Spungen, the mother of Nancy, who was stabbed to death at the Chelsea Hotel, it was both a relief and a tragedy. Here is the incredible story of an infant who never stopped screaming, a toddler who attacked people, a teenager addicted to drugs, violence, and easy sex, a daughter completely out of control--who almost destroyed her parents' marriage and the happiness of the rest of her family. ""Honest and moving...Her painful tale is engrossing."" WASHINGTON POST BOOK WORLD From the Paperback edition.",1996
9780449911839,Davita's Harp,Chaim Potok,Fiction,http://books.google.com/books/content?id=YzUDLcXxOPsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The daughter of a nonbelieving Jewish mother and a nonbelieving gentile father--dedicated Communists both--Davita Chandal, growing up as the world suffers through the Spanish Civil War and World War II, turns to Judaism for consolation and spiritual sustenance",1996
9780449911891,The Tin Can Tree,Anne Tyler,Fiction,http://books.google.com/books/content?id=diHuC95PuLkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Following the tragic accidental death of six-year-old Janie Rose, members of the Pike family, including her ten-year-old brother Simon, confront their grief in their own ways. Reader's Guide included. Reissue. 20,000 first printing.",1996
9780449911945,Rabbit at Rest,John Updike,Fiction,http://books.google.com/books/content?id=GXWJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Winner of the Pulitzer Prize, the Howells Medal, and the National Book Critics Circle Award In John Updike's fourth and final novel about Harry “Rabbit” Angstrom, the hero has acquired a Florida condo, a second grandchild, and a troubled, overworked heart. His son, Nelson, is behaving erratically; his daughter-in-law, Pru, is sending him mixed signals; and his wife, Janice, decides in midlife to return to the world of work. As, through the year of 1989, Reagan's debt-ridden, AIDS-plagued America yields to that of the first George Bush, Rabbit explores the bleak terrain of late middle age, looking for reasons to live and opportunities to make peace with a remorselessly accumulating past.",1996
9780450040184,The Shining,Stephen King,Boys,http://books.google.com/books/content?id=tVt-uQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Danny is only five years old, but he is a 'shiner', aglow with psychic voltage. When his father becomes caretaker of an old hotel, his visions grow out of control. Cut off by blizzards, the hotel seems to develop an evil force, and who are the mysterious guests in the supposedly empty hotel?",1977
9780450524684,The Dark Half,Stephen King,English fiction,http://books.google.com/books/content?id=0Ym_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Written by the author of CARRIE, 'SALEM'S LOT, THE SHINING and CHRISTINE, this novel features Thad Beaumont, a Pulitzer Prize-winning author who has developed a lucrative thriller-writing alter ego named George Stark. He stops being fun so Beaumont wants to kill him.",1990
9780450610097,Nightmares and Dreamscapes,Stephen King,English fiction,http://books.google.com/books/content?id=NdxgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A collection of horror stories.,1994
9780451150653,'Salem's Lot,Stephen King,Fiction,http://books.google.com/books/content?id=icSZwYRrX9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Salem's Lot, is the story of a mundane town under siege from the forces of darkness. Considered one of the most terrifying vampire novels ever written, it cunningly probes the shadows of the human heart, and the insular evils of small-town America.",1976
9780451155757,The Dead Zone,Stephen King,Fiction,http://books.google.com/books/content?id=H8ruHGhl3kYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After four and a half years in a coma, Johnny Smith awakens with a knowledge of the death zone and an ability to see the future, a horrible power that he does not want and cannot escape",1980
